spiceartefacteight-years-and-three-days-ago - Gerard Byrne, Eight years and three days ago, 2007, Silver gelatin print, 125 x 157.7 cm, Collection Irish Museum of Modern Art, Donation, 2011 	hope-anticipation_trust
spiceartefactmargaret-again - Jaki Irvine, Margaret Again, 1995, Video, Dimensions variableDuration:, Collection Irish Museum of Modern Art, Purchase, 1996 	hope-anticipation_trust
spiceartefactresurrection-why-is-truth-always-the-first-victim - Les Levine, Resurrection. Why is Truth Always the First Victim?, 1972, Photograph (Fuji Crystal), 25 x 33 in, Collection Irish Museum of Modern Art, Donated by Amy Plumb Oppenheim in honor of Dennis Oppenheim, 2018 	hope-anticipation_trust
spiceartefactresurrection-why-is-truth-always-the-first-victim - Les Levine, Resurrection. Why is Truth Always the First Victim?, 1972, Photograph (Fuji Crystal), 25 x 33 in, Collection Irish Museum of Modern Art, Donated by Amy Plumb Oppenheim in honor of Dennis Oppenheim, 2018 	hope-trust_anticipation
spiceartefactdisplay-case - Simon R. English, Display Case, 1997, Oil on panel, 62 x 125 cm, Collection Irish Museum of Modern Art, Donated, 1998 	hope-trust_anticipation
spiceartefacteight-years-and-three-days-ago - Gerard Byrne, Eight years and three days ago, 2007, Silver gelatin print, 125 x 157.7 cm, Collection Irish Museum of Modern Art, Donation, 2011 	hope-trust_anticipation
spiceartefactmargaret-again - Jaki Irvine, Margaret Again, 1995, Video, Dimensions variableDuration:, Collection Irish Museum of Modern Art, Purchase, 1996 	hope-trust_anticipation
spiceartefactnational-identity-crisis-1 - Jack Pakenham, National Identity Crisis 1, 1995, Acrylic on canvas, 210 x 360 cm, Collection Irish Museum of Modern Art, Purchase, 2006 	outrage-anger_surprise
spiceartefactrhythm-2 - Marina Abramović, Rhythm 2, 1974, Framed black and white photographs (diptych) with framed letter press text panel, Image framed (each) 100.3 x 75.6 cm Text framed 26 x 18.4 cm, Collection Irish Museum of Modern Art, Purchase, 1995 	outrage-anger_surprise
spiceartefactsolar-breath-northern-caryatids - Michael Snow, Solar Breath (Northern Caryatids), 2005, Video (colour, sound), Duration: 60 min, Collection Irish Museum of Modern Art, Purchase, 2007 	outrage-anger_surprise
spiceartefactthe-silver-bridge - Jaki Irvine, The Silver Bridge, 2003, Eight-channel video, Dimensions variable, Collection Irish Museum of Modern Art, Purchase, 2003 	outrage-anger_surprise
spiceartefactnational-identity-crisis-1 - Jack Pakenham, National Identity Crisis 1, 1995, Acrylic on canvas, 210 x 360 cm, Collection Irish Museum of Modern Art, Purchase, 2006 	outrage-surprise_anger
spiceartefactrhythm-2 - Marina Abramović, Rhythm 2, 1974, Framed black and white photographs (diptych) with framed letter press text panel, Image framed (each) 100.3 x 75.6 cm Text framed 26 x 18.4 cm, Collection Irish Museum of Modern Art, Purchase, 1995 	outrage-surprise_anger
spiceartefactsolar-breath-northern-caryatids - Michael Snow, Solar Breath (Northern Caryatids), 2005, Video (colour, sound), Duration: 60 min, Collection Irish Museum of Modern Art, Purchase, 2007 	outrage-surprise_anger
spiceartefactthe-silver-bridge - Jaki Irvine, The Silver Bridge, 2003, Eight-channel video, Dimensions variable, Collection Irish Museum of Modern Art, Purchase, 2003 	outrage-surprise_anger
spiceartefactdisplay-case - Simon R. English, Display Case, 1997, Oil on panel, 62 x 125 cm, Collection Irish Museum of Modern Art, Donated, 1998 	pessimism-anticipation_sadness
spiceartefactmenhir-bloody-sunday - Anne Madden, Menhir (Bloody Sunday), 1976, Acrylic on cotton duck canvas, 195 x 114 cm, Collection Irish Museum of Modern Art, Donation, 2010 	pessimism-anticipation_sadness
spiceartefactsplit-face-i - Eithne Jordan, Split Face I, 1998, Oil on canvas, 150 x 150 cm, Collection Irish Museum of Modern Art, Donation, Maire and Maurice Foley, 2000 	pessimism-anticipation_sadness
spiceartefactmenhir-bloody-sunday - Anne Madden, Menhir (Bloody Sunday), 1976, Acrylic on cotton duck canvas, 195 x 114 cm, Collection Irish Museum of Modern Art, Donation, 2010 	pessimism-sadness_anticipation
spiceartefactsplit-face-i - Eithne Jordan, Split Face I, 1998, Oil on canvas, 150 x 150 cm, Collection Irish Museum of Modern Art, Donation, Maire and Maurice Foley, 2000 	pessimism-sadness_anticipation
spiceartefactmenhir-bloody-sunday - Anne Madden, Menhir (Bloody Sunday), 1976, Acrylic on cotton duck canvas, 195 x 114 cm, Collection Irish Museum of Modern Art, Donation, 2010 	remorse-disgust_sadness
spiceartefactsplit-face-i - Eithne Jordan, Split Face I, 1998, Oil on canvas, 150 x 150 cm, Collection Irish Museum of Modern Art, Donation, Maire and Maurice Foley, 2000 	remorse-disgust_sadness
spiceartefactmenhir-bloody-sunday - Anne Madden, Menhir (Bloody Sunday), 1976, Acrylic on cotton duck canvas, 195 x 114 cm, Collection Irish Museum of Modern Art, Donation, 2010 	remorse-sadness_disgust
spiceartefactsplit-face-i - Eithne Jordan, Split Face I, 1998, Oil on canvas, 150 x 150 cm, Collection Irish Museum of Modern Art, Donation, Maire and Maurice Foley, 2000 	remorse-sadness_disgust
spiceartefactmenhir-bloody-sunday - Anne Madden, Menhir (Bloody Sunday), 1976, Acrylic on cotton duck canvas, 195 x 114 cm, Collection Irish Museum of Modern Art, Donation, 2010 	sentimentality-sadness_trust
spiceartefactmenhir-bloody-sunday - Anne Madden, Menhir (Bloody Sunday), 1976, Acrylic on cotton duck canvas, 195 x 114 cm, Collection Irish Museum of Modern Art, Donation, 2010 	sentimentality-trust_sadness
spiceartefactsplit-face-i - Eithne Jordan, Split Face I, 1998, Oil on canvas, 150 x 150 cm, Collection Irish Museum of Modern Art, Donation, Maire and Maurice Foley, 2000 	sentimentality-trust_sadness
spiceartefactkill-god-campaign-dublin-ireland - Les Levine, ”Kill God” campaign, Dublin, Ireland, 1994, Unique cibachrome, 50.8 x 60.96 cm, Collection Irish Museum of Modern Art, Donated by Barbara and Donald Seligman, 2014 	shame-disgust_fear
spiceartefactkill-god-campaign-dublin-ireland - Les Levine, ”Kill God” campaign, Dublin, Ireland, 1994, Unique cibachrome, 50.8 x 60.96 cm, Collection Irish Museum of Modern Art, Donated by Barbara and Donald Seligman, 2014 	shame-fear_disgust
spiceartefactkill-god-campaign-dublin-ireland - Les Levine, ”Kill God” campaign, Dublin, Ireland, 1994, Unique cibachrome, 50.8 x 60.96 cm, Collection Irish Museum of Modern Art, Donated by Barbara and Donald Seligman, 2014 	submission-fear_trust
spiceartefactkill-god-campaign-dublin-ireland - Les Levine, ”Kill God” campaign, Dublin, Ireland, 1994, Unique cibachrome, 50.8 x 60.96 cm, Collection Irish Museum of Modern Art, Donated by Barbara and Donald Seligman, 2014 	submission-trust_fear
spiceartefactthe-silver-bridge - Jaki Irvine, The Silver Bridge, 2003, Eight-channel video, Dimensions variable, Collection Irish Museum of Modern Art, Purchase, 2003 	unbelief-disgust_surprise
spiceartefactthe-silver-bridge - Jaki Irvine, The Silver Bridge, 2003, Eight-channel video, Dimensions variable, Collection Irish Museum of Modern Art, Purchase, 2003 	unbelief-surprise_disgust
